数据年月,商品编码,商品名称,美元
201709,2602,锰矿砂及其精矿，包括...,1438555
201709,2606,铝矿砂及其精矿,328347
201709,2608,锌矿砂及其精矿,55200
201709,2610,铬矿砂及其精矿,8530
201709,2613,钼矿砂及其精矿,1463904
201709,2614,钛矿砂及其精矿,1364028
201709,2615,铌、钽、钒或锆矿砂及...,2717517
201709,2617,其他矿砂及其精矿,827338
201709,2618,冶炼钢铁所产生的粒状...,2854874
201709,2619,冶炼钢铁所产生的熔渣...,489631
201709,2620,含有金属、砷及其化合...,124546
201709,2621,其他矿渣及矿灰，包括...,8639797
201709,2701,煤；煤砖、煤球及用煤...,80019084
201709,2702,褐煤，不论是否制成型...,31419
201709,2704,煤、褐煤或泥煤制成的...,118908997
201709,2706,从煤、褐煤或泥煤蒸馏...,281789
201709,2707,蒸馏高温煤焦油所得的...,1746682
201709,2708,从煤焦油或其他矿物焦...,49799422
201709,2709,石油原油及从沥青矿物...,166983315
201709,2710,石油及从沥青矿物提取...,1754525199
201709,2711,石油气及其他烃类气,195312140
201709,2712,凡士林；石蜡、微晶石...,50682938
201709,2713,石油焦、石油沥青及其...,53922271
201709,2714,天然沥青（地沥青）、...,147346
201709,2715,以天然沥青（地沥青）...,3650020
201709,2716,电力,164226871
201709,2801,氟、氯、溴及碘,162971
201709,2802,升华硫磺、沉淀硫磺；...,1513
201709,2803,碳（碳黑及其他品目未...,56923224
201709,2804,氢、稀有气体及其他非...,160721899
201709,2805,碱金属、碱土金属；稀...,19253940
201709,2806,氯化氢（盐酸）；氯磺...,301485
201709,2807,硫酸；发烟硫酸,6378162
201709,2808,硝酸；磺硝酸,784345
201709,2809,五氧化二磷；磷酸；多...,42800825
201709,2810,硼的氧化物；硼酸,70995
201709,2811,其他无机酸及非金属无...,69126553
201709,2812,非金属卤化物及卤氧化...,8213576
201709,2813,非金属硫化物；商品三...,931669
201709,2814,氨及氨水,388486
201709,2815,氢氧化钠（烧碱）；氢...,58333958
201709,2816,氢氧化及过氧化镁；锶...,3079424
201709,2817,氧化锌及过氧化锌,1946028
201709,2818,人造刚玉，不论是否已...,66470373
