数据年月,商品编码,商品名称,人民币
202501,071430,山药,17035679
202501,071440,芋头(芋属),58452773
202501,071490,其他鲜、冷、冻或干含...,58587536
202501,080111,干椰子,671509
202501,080119,其他椰子,148
202501,080132,去壳腰果,370647
202501,080211,未去壳扁桃核,178803
202501,080212,去壳扁桃核,2890902
202501,080221,未去壳榛子,137283
202501,080231,未去壳核桃,254672650
202501,080232,去壳核桃,593060407
202501,080241,未去壳栗子,32598909
202501,080242,去壳栗子,494953
202501,080251,未去壳阿月浑子果(开...,134038219
202501,080252,去壳阿月浑子果(开心...,11427948
202501,080261,未去壳马卡达姆坚果(...,1729993
202501,080262,去壳马卡达姆坚果(夏...,14401823
202501,080280,槟榔果,15655684
202501,080291,未去壳松子,558171
202501,080292,去壳松子,206232703
202501,080299,其他鲜或干的坚果,5308367
202501,080390,鲜或干的香蕉，芭蕉除...,17137676
202501,080410,鲜或干的椰枣,581096
202501,080420,鲜或干的无花果,2125201
202501,080430,鲜或干的菠萝,22750226
202501,080440,鲜或干的鳄梨,777
202501,080450,鲜或干的番石榴、芒果...,25548052
202501,080510,橙,153318792
202501,080521,柑橘（包括小蜜橘及萨...,952036805
202501,080529,韦尔金橘及类似的杂交...,263991752
202501,080540,葡萄柚及柚,53746276
202501,080550,柠檬及酸橙,48186584
202501,080590,未列名柑桔属水果,178056
202501,080610,鲜葡萄,536067634
202501,080620,葡萄干,90600505
202501,080711,鲜西瓜,1237475
202501,080719,其他甜瓜,20531569
202501,080720,鲜番木瓜,102929
202501,080810,鲜苹果,638543837
202501,080830,鲜梨,386492524
202501,080929,其他鲜樱桃,41083080
202501,080930,鲜桃，包括油桃,181986
202501,080940,鲜李及黑刺李,23219
202501,081010,鲜草莓,15965193
202501,081020,鲜木莓、黑莓、桑椹及...,10198657
202501,081040,鲜蔓越橘及越橘及其他...,10349785
202501,081050,鲜猕猴桃,61948851
202501,081070,鲜柿子,54167683
202501,081090,其他鲜果,57968709
202501,081110,冷冻草莓,51982955
202501,081120,冷冻木莓、黑莓、桑椹...,37059643
202501,081190,未列名冷冻水果及坚果,82000461
202501,081210,暂时保藏的樱桃,396778
202501,081290,其他暂时保藏的水果及...,14267750
202501,081310,杏干,43228
202501,081320,梅干及李干,3050136
202501,081330,苹果干,18704017
202501,081340,其他干果,170885464
202501,081350,本章的什锦坚果或干果,8136192
202501,081400,柑桔属水果或甜瓜的果...,2025271
202501,090111,未焙炒未浸除咖啡碱的...,73243245
202501,090121,已焙炒未浸除咖啡碱的...,12756988
202501,090122,已焙炒已浸除咖啡碱的...,50119
202501,090210,绿茶，内包装每件净重...,411617303
202501,090220,绿茶，内包装每件净重...,523507195
202501,090230,红茶及部分发酵茶，内...,48023392
202501,090240,红茶及部分发酵茶，内...,100492257
202501,090411,未磨胡椒,11566037
202501,090412,已磨胡椒,9659172
202501,090421,未磨的辣椒干,121120107
202501,090422,已磨的辣椒,483347537
202501,090611,未磨的锡兰肉桂,44621
202501,090619,其他未磨的肉桂及肉桂...,51772791
202501,090620,已磨的肉桂及肉桂花,6197570
202501,090710,未磨的丁香（母丁香、...,2192198
202501,090720,已磨的丁香（母丁香、...,19194
202501,090811,未磨的肉豆蔻,293457
202501,090812,已磨的肉豆蔻,62284
202501,090831,未磨的豆蔻,50277
202501,090921,未磨的芫荽子,279778
202501,090922,已磨的芫荽子,1165
202501,090931,未磨的枯茗子,357773
202501,090932,已磨的枯茗子,301365
202501,090961,未磨的茴芹子或八角茴...,71860823
202501,090962,已磨的茴芹子或八角茴...,352651
202501,091011,未磨的姜,439414202
202501,091012,已磨的姜,54370595
202501,091020,番红花,95326
202501,091030,姜黄,1310436
202501,091091,不同品目的≥两种调味...,13313841
202501,091099,未列名调味香料,16577464
202501,100390,其他大麦,15670
202501,100490,其他燕麦,38543
202501,100510,种用玉米,101
202501,100590,玉米，种用除外,116385
202501,100610,稻谷,60556990
202501,100620,糙米,194466351
202501,100630,精米,237883551
202501,100790,其他食用高粱,1674367
202501,100810,荞麦,10446558
202501,100829,其他谷子,2540252
202501,100850,昆诺阿藜,20686
202501,100890,未列名谷物,7086752
202501,110100,小麦或混合麦的细粉,43128826
202501,110220,玉米细粉,40704
202501,110290,其他谷物细粉,1012252
202501,110313,玉米粗粒、粗粉,88480
202501,110412,滚压或制片的燕麦,21081
202501,110422,经其他加工的燕麦,73433
202501,110429,经其他加工的其他谷物,17751348
202501,110430,整粒、滚压、制片或磨...,205149
202501,110510,马铃薯细粉及粗粉、粉...,7423623
202501,110520,马铃薯粉片、颗粒及团...,1089193
202501,110610,0713干豆制细粉及...,2683502
202501,110620,0714西谷茎髓及植...,4774669
202501,110630,第8章产品制细粉及粗...,30871632
202501,110710,未焙制的麦芽,265598351
202501,110720,已焙制的麦芽,1845640
202501,110811,小麦淀粉,861264
202501,110812,玉米淀粉,27139468
202501,110813,马铃薯淀粉,7036347
202501,110814,木薯淀粉,399504
202501,110819,未列名淀粉,29327297
202501,110820,菊粉,10630239
202501,110900,面筋，不论是否干制,172824271
202501,120110,种用大豆,471533
202501,120190,其他大豆，不论是否破...,43736227
202501,120241,其他未去壳花生，种用...,20517948
202501,120242,其他去壳花生，不论是...,151754245
202501,120300,干椰子肉,2636
202501,120400,亚麻子，不论是否破碎,869357
202501,120510,低芥子酸油菜子,22
202501,120600,葵花子，不论是否破碎,691258632
202501,120721,种用棉子,26009536
202501,120730,蓖麻子,9605
202501,120740,芝麻,98312770
202501,120750,芥子,79133
202501,120760,红花子,45680
202501,120770,甜瓜子,43186083
202501,120791,罂粟子,1922976
202501,120799,其他含油子仁及果实,46754848
202501,120810,大豆粉,3268373
202501,120890,其他含油子仁或果实细...,13598526
202501,120925,黑麦草种子,3565
202501,120930,草本花卉植物种子,24764359
202501,120991,蔬菜种子,163151616
202501,120999,其他种植用种子、果实...,722599
202501,121010,啤酒花，未经研磨也未...,7
202501,121020,啤酒花，经研磨或制成...,1077439
202501,121120,人参,40314146
202501,121150,麻黄,1544871
202501,121190,其他主要作香料、药料...,544035048
202501,121221,适合供人食用的海草及...,43652645
202501,121229,不适合供人食用的海草...,3045271
202501,121291,甜菜,337685
202501,121293,甘蔗,199854
202501,121294,菊苣根,2596
202501,121299,其他食用植物产品,673013912
202501,121300,未经处理的谷类植物的...,984538
202501,121410,紫苜蓿粗粉及团粒,221024
202501,121490,其他草饲料,941556
202501,130120,阿拉伯胶,1505908
202501,130190,其他树胶、树脂,3026084
202501,130212,甘草液汁及浸膏,13289549
202501,130213,啤酒花液汁及浸膏,2056325
202501,130219,其他植物液汁及浸膏,1008608543
202501,130220,果胶、果胶酸盐及果胶...,45761296
202501,130231,琼脂,48141086
202501,130232,从刺槐豆/豆子或瓜尔...,16127048
202501,130239,其他植物产品制胶液及...,324120368
202501,140110,竹,49390271
202501,140120,藤,5234017
202501,140190,其他主要作编结用的植...,13621918
202501,140490,其他植物产品,156998854
202501,150110,猪油,522059
202501,150190,"家禽脂肪,但品目02...",2096501
202501,150210,牛、羊油脂,1122367
202501,150290,其他牛、羊脂肪,3434928
202501,150410,鱼肝油及其分离品,417771
202501,150420,除鱼肝油以外的鱼油、...,319522682
202501,150500,羊毛脂及从羊毛脂制得...,30634017
202501,150600,其他动物油、脂及其分...,8092822
202501,150710,初榨的豆油,87921817
202501,150790,其他豆油及其分离品,209822976
