Date of data,Commodity code,Commodity,Renminbi Yuan
202212,30631,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp) , whether in shell or not, live, fresh or chilled",21206.0
202212,30633,"Crabs , whether in shell or not, live, fresh or chilled",70043080.0
202212,30636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",91165351.0
202212,30639,"Other crustaceans, live, fresh or chilled",1603404.0
202212,30695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",25602390.0
202212,30699,"Other Crustaceans, incl. in  0309",60600.0
202212,30711,"Oysters, live, fresh, chilled",16834390.0
202212,30712,"Oysters, frozen",3463478.0
202212,30719,"Oysters, smoked, frozen, dried, salted or in brine",53440491.0
202212,30721,"Live, fresh or chilled, scallops and other molluscs of the family Pectinidae",4577766.0
202212,30722,Frozen scallops and other molluscs of the family Pectinidae,235050618.0
202212,30729,"Dried, salted or in brine, smoked, scallops and other molluscs of the family Pectinidae",289548.0
202212,30731,"Live, fresh or chilled, not smoked, mussels (Mytilus spp., Perna spp.), with or without shell",69387.0
202212,30732,"Frozen mussels (Mytilus spp., Perna spp.), with or without shell",13605528.0
202212,30742,"Live, fresh or chilled, not smoked, cuttle fish and squid, with or without shell",25150542.0
202212,30743,"Frozen cuttle fish and squid, with or without shell",1069004521.0
202212,30749,"Cuttle fish and squid, smoked, frozen, dried, salted or in brine, with or without shell",20567474.0
202212,30751,"Live, fresh or chilled, not smoked,octopus (Octopus spp.)",58295042.0
202212,30752,Frozen octopus (Octopus spp.),167736267.0
202212,30759,"Octopus (Octopus spp.), smoked, frozen, dried, salted or in brine",1152615.0
202212,30760,"Snails, other than sea snails",918602.0
202212,30771,"Live, fresh or chilled, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",94581204.0
202212,30772,"Frozen, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",16721344.0
202212,30781,"Live, fresh or chilled abalone (Haliotis spp)",49534188.0
202212,30783,Frozen abalone (Haliotis spp),6370590.0
202212,30791,"Other molluscs,live/fresh/chilled",16893722.0
202212,30792,Other frozen Molluscs,25063250.0
202212,30799,"Other Molluscs,dried/salted/ in brine/smoked",3094409.0
202212,30811,"Live, fresh or chilled, sea cucumbers (Stichopus japonicus, Holothuroidea)",73002.0
202212,30812,"Frozen sea cucumbers (Stichopus japonicus, Holothuroidea)",4729792.0
202212,30821,"Live, fresh or chilled, sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",438568.0
