数据年月,商品编码,商品名称,人民币
202501,2815,氢氧化钠（烧碱）；氢...,763653890
202501,2816,氢氧化及过氧化镁；锶...,29146996
202501,2817,氧化锌及过氧化锌,23346299
202501,2818,人造刚玉，不论是否已...,1677034557
202501,2819,铬的氧化物及氢氧化物,31769200
202501,2820,锰的氧化物,63959838
202501,2821,铁的氧化物及氢氧化物...,192070001
202501,2822,钴的氧化物及氢氧化物...,59419052
202501,2823,钛的氧化物,57515278
202501,2824,铅的氧化物；铅丹及铅...,3833545
202501,2825,肼（联氨）、胲（羟胺...,1348147367
202501,2826,氟化物；氟硅酸盐、氟...,428717973
202501,2827,氯化物、氯氧化物及氢...,509170280
202501,2828,次氯酸盐；商品次氯酸...,121679509
202501,2829,氯酸盐及高氯酸盐；溴...,48573492
202501,2830,硫化物；多硫化物，不...,162998387
202501,2831,连二亚硫酸盐及次硫酸...,76081755
202501,2832,亚硫酸盐；硫代硫酸盐,81117991
202501,2833,硫酸盐；矾；过硫酸盐,629652377
202501,2834,亚硝酸盐；硝酸盐,127347810
202501,2835,次磷酸盐、亚磷酸盐及...,896353207
202501,2836,碳酸盐；过碳酸盐；含...,625949380
202501,2837,氰化物、氧氰化物及氰...,284627090
202501,2839,硅酸盐；商品碱金属硅...,76137625
202501,2840,硼酸盐及过硼酸盐,20648543
202501,2841,金属酸盐及过金属酸盐,186552246
202501,2842,其他无机酸盐及过氧酸...,1128747814
202501,2843,胶态贵金属；贵金属的...,163654617
202501,2844,放射性化学元素及放射...,2182233
202501,2845,品目28.44以外的...,260814029
202501,2846,稀土金属、钇、钪及其...,352731182
202501,2847,过氧化氢，不论是否用...,9553706
202501,2849,碳化物，不论是否已有...,354644601
202501,2850,氢化物、氮化物、叠氮...,107686821
202501,2853,磷化物，不论是否已有...,534329807
202501,2901,无环烃,183947996
202501,2902,环烃,880651689
202501,2903,烃的卤化衍生物,955447453
202501,2904,烃的磺化、硝化或亚硝...,152066787
202501,2905,无环醇及其卤化、磺化...,1503563118
202501,2906,环醇及其卤化、磺化、...,436872223
202501,2907,酚；酚醇,301227787
202501,2908,酚及酚醇的卤化、磺化...,39882915
202501,2909,醚、醚醇、醚酚、醚醇...,2174294427
202501,2910,三节环环氧化物、环氧...,117604056
202501,2911,缩醛及半缩醛，不论是...,10854598
202501,2912,醛，不论是否含有其他...,404545687
202501,2913,品目2912产品的卤...,28897548
202501,2914,酮及醌，不论是否含有...,1197464048
202501,2915,饱和无环一元羧酸及其...,1812432521
202501,2916,不饱和无环一元羧酸、...,1319598974
202501,2917,多元羧酸及其酸酐、酰...,2803492741
202501,2918,含附加含氧基的羧酸及...,2142533946
202501,2919,磷酸脂及其盐，包括乳...,300698385
202501,2920,其他非金属无机酸酯（...,331548747
202501,2921,氨基化合物,1652434901
202501,2922,含氧基氨基化合物,4136400922
202501,2923,季铵盐及季铵碱；卵磷...,388908114
202501,2924,羧基酰胺基化合物；碳...,2099428752
202501,2925,羧基酰亚胺化合物（包...,563596580
202501,2926,腈基化合物,822397686
202501,2927,重氮化合物、偶氮化合...,174386265
202501,2928,肼（联氨）及胲（羟胺...,134470055
202501,2929,其他含氮基化合物,1010971805
202501,2930,有机硫化合物,2304986712
202501,2931,其他有机—无机化合物,1748898103
202501,2932,仅含氧杂原子的杂环化...,2098013741
202501,2933,仅含有氮杂原子的杂环...,7636646327
202501,2934,核酸及其盐，不论是否...,3271226857
202501,2935,磺（酰）胺,505215563
202501,2936,天然或合成再制的维生...,2960860950
202501,2937,天然或合成再制的激素...,1329788522
202501,2938,天然或合成再制的苷（...,474533107
202501,2939,天然或合成再制的生物...,122975664
202501,2940,化学纯糖，但蔗糖、乳...,210498960
202501,2941,抗菌素,2963816101
202501,2942,其他有机化合物,32493219
202501,3001,已干燥的器官疗法用腺...,478619375
202501,3002,人血；治病、防病或诊...,886941696
202501,3003,两种或两种以上成分混...,757611734
202501,3004,环己醇、甲基环己醇及...,4335844664
202501,3005,软填料、纱布、绷带及...,1499690885
202501,3006,本章注释4 所规定的...,464328252
202501,3101,动物或植物肥料，不论...,12093738
202501,3102,矿物氮肥及化学氮肥,1345370441
202501,3103,矿物磷肥及化学磷肥,527929434
202501,3104,矿物钾肥及化学钾肥,36640832
202501,3105,含氮、磷、钾中二种或...,1164770445
202501,3201,植物鞣料浸膏；鞣酸及...,3693289
202501,3202,有机合成鞣料；无机鞣...,17181534
202501,3203,动植物质着色料（包括...,220872182
202501,3204,有机合成着色料，不论...,1699038004
202501,3205,色淀；本章注释3所述...,1416439
202501,3206,其他着色料；本章注释...,2592006582
202501,3207,陶瓷、搪瓷及玻璃工业...,235405498
202501,3208,以合成聚合物或化学改...,532749749
202501,3209,以合成聚合物或化学改...,134874063
202501,3210,其他油漆及清漆（包括...,35245232
202501,3211,配制的催干剂,12162471
202501,3212,制造油漆（含瓷漆）用...,70769599
202501,3213,艺术家、学生和广告美...,304595451
202501,3214,安装玻璃用油灰、接缝...,390323042
202501,3215,印刷油墨、书写或绘图...,447117348
202501,3301,精油（无萜或含萜），...,248081833
202501,3302,工业原料用的混合香料...,384106380
202501,3303,香水及花露水,418035718
202501,3304,美容品或化妆品及护肤...,3062871104
202501,3305,护发品,480384815
202501,3306,口腔及牙齿清洁剂，包...,541241362
202501,3307,剃须用制剂、人体除臭...,966253202
202501,3401,肥皂；作肥皂用的有机...,1048728698
202501,3402,有机表面活性剂（肥皂...,2730722910
202501,3403,润滑剂（包括以润滑剂...,305471394
202501,3404,人造蜡及调制蜡,282466158
202501,3405,鞋靴、家具、地板、车...,112197387
202501,3406,各种蜡烛及类似品,698776213
202501,3407,塑型用膏，包括供儿童...,368773557
202501,3501,酪蛋白、酪蛋白酸盐及...,1397896
202501,3502,白蛋白（包括按重量计...,2350017
202501,3503,明胶（包括长方形、正...,185031805
202501,3504,蛋白胨及其衍生物；其...,476913564
202501,3505,糊精及其他改性淀粉（...,200090567
202501,3506,其他品目未列名的调制...,2155970471
202501,3507,酶；其他品目未列名的...,469825415
202501,3601,发射药,8171079
202501,3602,配制炸药， 但发射药...,13301430
202501,3603,安全导火索；导爆索；...,46999280
202501,3604,烟花、爆竹、信号弹、...,701831420
202501,3605,火柴， 但品目360...,4935282
202501,3606,各种形状的铈铁及其他...,18798992
202501,3701,未曝光的摄影感光硬片...,616169614
202501,3702,成卷的未曝光摄影感光...,88990931
202501,3703,未曝光的摄影感光纸、...,31243364
202501,3705,已曝光已冲洗的摄影硬...,82445
202501,3707,摄影用化学制剂（不包...,158976840
202501,3801,人造石墨；胶态或半胶...,806490786
202501,3802,活性碳；活性天然矿产...,328906073
202501,3803,妥尔油，不论是否精炼,138893
202501,3804,木桨残余碱液，不论是...,6659234
202501,3805,脂松节油、木松节油和...,6784503
202501,3806,松香和树脂酸及衍生物...,89254974
202501,3807,木焦油；精制木焦油；...,2091661
202501,3808,杀虫剂、杀鼠剂、杀菌...,6139376623
202501,3809,纺织、造纸、制革及类...,150717536
202501,3810,金属表面酸洗剂；焊接...,152281355
202501,3811,抗震剂、抗氧剂、防胶...,408965155
202501,3812,配制的橡胶促进剂；其...,788654241
202501,3813,灭火器的装配药；已装...,25002445
202501,3814,其他品目未列名的有机...,41734724
202501,3815,其他品目未列名的反应...,832136095
202501,3816,耐火的水泥、灰泥、混...,336815388
202501,3817,混合烷基苯及混合烷基...,97292861
